time,Open,High,Low,Close,Adj Close,Volume,ticker
2022-05-27 02:00:00+00:00,8.680859173182398e-05,8.713321585673839e-05,8.660369348945096e-05,8.684962813276798e-05,8.684962813276798e-05,0,UNI-USD
2022-05-27 03:00:00+00:00,8.693277777638286e-05,8.734204311622307e-05,8.693277777638286e-05,8.722431812202558e-05,8.722431812202558e-05,0,UNI-USD
2022-05-27 04:00:00+00:00,8.712585986359045e-05,8.726502710487694e-05,8.675231947563589e-05,8.679904567543417e-05,8.679904567543417e-05,0,UNI-USD
2022-05-27 05:00:00+00:00,8.682054613018408e-05,0.00014419124636333436,8.638417057227343e-05,0.00014396689948625863,0.00014396689948625863,16,UNI-USD
2022-05-27 06:00:00+00:00,0.00014386717521119863,0.00014468669542111456,0.0001433004072168842,0.00014468669542111456,0.00014468669542111456,0,UNI-USD
2022-05-27 07:00:00+00:00,0.0001448343537049368,0.0001456060417694971,0.00014462950639426708,0.0001450389827368781,0.0001450389827368781,1,UNI-USD
2022-05-27 08:00:00+00:00,0.00014484075654763728,0.00014542647113557905,0.00014431380259338766,0.00014491777983494103,0.00014491777983494103,0,UNI-USD
2022-05-27 09:00:00+00:00,0.0001447599643142894,0.0001452680298825726,0.0001445590314688161,0.0001452680298825726,0.0001452680298825726,0,UNI-USD
2022-05-27 10:00:00+00:00,0.00014523138816002756,0.00014523138816002756,0.00014406525588128716,0.00014406525588128716,0.00014406525588128716,0,UNI-USD
2022-05-27 11:00:00+00:00,0.00014412538439501077,0.0001450320560252294,0.00014412538439501077,0.00014457778888754547,0.00014457778888754547,0,UNI-USD
2022-05-27 12:00:00+00:00,0.00014447134162764996,0.00014629856741521508,0.00014443337568081915,0.00014604897296521813,0.00014604897296521813,1,UNI-USD
2022-05-27 13:00:00+00:00,0.00014614564133808017,0.00014665766502730548,0.0001457376783946529,0.00014665766502730548,0.00014665766502730548,0,UNI-USD
2022-05-27 14:00:00+00:00,0.00014647256466560066,0.00014647256466560066,0.00014410832955036312,0.00014410832955036312,0.00014410832955036312,0,UNI-USD
2022-05-27 15:00:00+00:00,0.0001441036001779139,0.00014441458915825933,0.0001435197191312909,0.00014411752636078745,0.00014411752636078745,0,UNI-USD
2022-05-27 16:00:00+00:00,0.00014413286407943815,0.00014438429207075387,0.00014346311218105257,0.00014353297592606395,0.00014353297592606395,0,UNI-USD
2022-05-27 17:00:00+00:00,0.00014364111120812595,0.000143933342769742,0.00014190346701070666,0.00014190346701070666,0.00014190346701070666,0,UNI-USD
2022-05-27 18:00:00+00:00,0.00014191157242748886,0.00014233851106837392,0.00014164013555273414,0.00014223034668248147,0.00014223034668248147,0,UNI-USD
2022-05-27 19:00:00+00:00,0.00014235051639843732,0.0001443902583559975,0.0001420641492586583,0.00014437362551689148,0.00014437362551689148,1,UNI-USD
2022-05-27 20:00:00+00:00,0.00014399804058484733,0.00014472105249296874,0.0001438769104424864,0.0001438769104424864,0.0001438769104424864,0,UNI-USD
2022-05-27 21:00:00+00:00,0.0001437947794329375,0.00014407520939130336,0.00014360770001076162,0.00014360770001076162,0.00014360770001076162,0,UNI-USD
2022-05-27 22:00:00+00:00,0.0001436043094145134,0.00014434360491577536,0.0001435412559658289,0.00014411515439860523,0.00014411515439860523,0,UNI-USD
2022-05-27 23:00:00+00:00,0.00014412481687031686,0.00014412481687031686,0.00014300433394964784,0.0001430354022886604,0.0001430354022886604,0,UNI-USD
2022-05-28 00:00:00+00:00,0.00014321887283585966,0.0001439793995814398,0.00014308752724900842,0.0001439793995814398,0.0001439793995814398,0,UNI-USD
2022-05-28 01:00:00+00:00,0.0001439893094357103,0.00014401713269762695,0.0001427853130735457,0.0001429911208106205,0.0001429911208106205,0,UNI-USD
2022-05-28 02:00:00+00:00,0.00014300996554084122,0.0001435459271306172,0.00014300996554084122,0.00014341007045004517,0.00014341007045004517,0,UNI-USD
2022-05-28 03:00:00+00:00,0.00014329946134239435,0.00014407449634745717,0.00014321415801532567,0.00014407449634745717,0.00014407449634745717,0,UNI-USD
2022-05-28 04:00:00+00:00,0.0001440274645574391,0.00014423801621887833,0.00014381286746356636,0.00014420908701140434,0.00014420908701140434,0,UNI-USD
2022-05-28 05:00:00+00:00,0.00014413308235816658,0.00014452739560510963,0.00014396574988495559,0.00014432221360038966,0.00014432221360038966,0,UNI-USD
